engine	syntax	pattern	input	expected	actual
JDK	2	U+0049	U+0130	true	false
JDK	4	U+0049	U+0130	false	true
JDK	2	U+004B	U+212A	true	false
JDK	4	U+004B	U+212A	false	true
JDK	2	U+00C5	U+212B	true	false
JDK	4	U+00C5	U+212B	false	true
JDK	2	U+0131	U+0130	true	false
JDK	4	U+0131	U+0130	false	true
JDK	0	U+0390	U+1FD3	true	false
JDK	1	U+0390	U+1FD3	true	false
JDK	2	U+0390	U+1FD3	true	false
JDK	3	U+0390	U+1FD3	false	true
JDK	4	U+0390	U+1FD3	false	true
JDK	2	U+0398	U+03F4	true	false
JDK	4	U+0398	U+03F4	false	true
JDK	2	U+03A9	U+2126	true	false
JDK	4	U+03A9	U+2126	false	true
JDK	0	U+03B0	U+1FE3	true	false
JDK	1	U+03B0	U+1FE3	true	false
JDK	2	U+03B0	U+1FE3	true	false
JDK	3	U+03B0	U+1FE3	false	true
JDK	4	U+03B0	U+1FE3	false	true
JDK	0	U+1FD3	U+0390	true	false
JDK	1	U+1FD3	U+0390	true	false
JDK	3	U+1FD3	U+0390	false	true
JDK	0	U+1FE3	U+03B0	true	false
JDK	1	U+1FE3	U+03B0	true	false
JDK	3	U+1FE3	U+03B0	false	true
JDK	0	U+FB05	U+FB06	true	false
JDK	1	U+FB05	U+FB06	true	false
JDK	3	U+FB05	U+FB06	false	true
JDK	0	U+FB06	U+FB05	true	false
JDK	1	U+FB06	U+FB05	true	false
JDK	2	U+FB06	U+FB05	true	false
JDK	3	U+FB06	U+FB05	false	true
JDK	4	U+FB06	U+FB05	false	true
