U+0041 U+0061
U+0042 U+0062
U+0043 U+0063
U+0044 U+0064
U+0045 U+0065
U+0046 U+0066
U+0047 U+0067
U+0048 U+0068
U+0049 U+0069 U+0130 U+0131
U+004A U+006A
U+004B U+006B U+212A
U+004C U+006C
U+004D U+006D
U+004E U+006E
U+004F U+006F
U+0050 U+0070
U+0051 U+0071
U+0052 U+0072
U+0053 U+0073 U+017F
U+0054 U+0074
U+0055 U+0075
U+0056 U+0076
U+0057 U+0077
U+0058 U+0078
U+0059 U+0079
U+005A U+007A
U+00B5 U+039C U+03BC
U+00C0 U+00E0
U+00C1 U+00E1
U+00C2 U+00E2
U+00C3 U+00E3
U+00C4 U+00E4
U+00C5 U+00E5 U+212B
U+00C6 U+00E6
U+00C7 U+00E7
U+00C8 U+00E8
U+00C9 U+00E9
U+00CA U+00EA
U+00CB U+00EB
U+00CC U+00EC
U+00CD U+00ED
U+00CE U+00EE
U+00CF U+00EF
U+00D0 U+00F0
U+00D1 U+00F1
U+00D2 U+00F2
U+00D3 U+00F3
U+00D4 U+00F4
U+00D5 U+00F5
U+00D6 U+00F6
U+00D8 U+00F8
U+00D9 U+00F9
U+00DA U+00FA
U+00DB U+00FB
U+00DC U+00FC
U+00DD U+00FD
U+00DE U+00FE
U+00DF U+1E9E
U+00FF U+0178
U+0100 U+0101
U+0102 U+0103
U+0104 U+0105
U+0106 U+0107
U+0108 U+0109
U+010A U+010B
U+010C U+010D
U+010E U+010F
U+0110 U+0111
U+0112 U+0113
U+0114 U+0115
U+0116 U+0117
U+0118 U+0119
U+011A U+011B
U+011C U+011D
U+011E U+011F
U+0120 U+0121
U+0122 U+0123
U+0124 U+0125
U+0126 U+0127
U+0128 U+0129
U+012A U+012B
U+012C U+012D
U+012E U+012F
U+0132 U+0133
U+0134 U+0135
U+0136 U+0137
U+0139 U+013A
U+013B U+013C
U+013D U+013E
U+013F U+0140
U+0141 U+0142
U+0143 U+0144
U+0145 U+0146
U+0147 U+0148
U+014A U+014B
U+014C U+014D
U+014E U+014F
U+0150 U+0151
U+0152 U+0153
U+0154 U+0155
U+0156 U+0157
U+0158 U+0159
U+015A U+015B
U+015C U+015D
U+015E U+015F
U+0160 U+0161
U+0162 U+0163
U+0164 U+0165
U+0166 U+0167
U+0168 U+0169
U+016A U+016B
U+016C U+016D
U+016E U+016F
U+0170 U+0171
U+0172 U+0173
U+0174 U+0175
U+0176 U+0177
U+0179 U+017A
U+017B U+017C
U+017D U+017E
U+0180 U+0243
U+0181 U+0253
U+0182 U+0183
U+0184 U+0185
U+0186 U+0254
U+0187 U+0188
U+0189 U+0256
U+018A U+0257
U+018B U+018C
U+018E U+01DD
U+018F U+0259
U+0190 U+025B
U+0191 U+0192
U+0193 U+0260
U+0194 U+0263
U+0195 U+01F6
U+0196 U+0269
U+0197 U+0268
U+0198 U+0199
U+019A U+023D
U+019B U+A7DC
U+019C U+026F
U+019D U+0272
U+019E U+0220
U+019F U+0275
U+01A0 U+01A1
U+01A2 U+01A3
U+01A4 U+01A5
U+01A6 U+0280
U+01A7 U+01A8
U+01A9 U+0283
U+01AC U+01AD
U+01AE U+0288
U+01AF U+01B0
U+01B1 U+028A
U+01B2 U+028B
U+01B3 U+01B4
U+01B5 U+01B6
U+01B7 U+0292
U+01B8 U+01B9
U+01BC U+01BD
U+01BF U+01F7
U+01C4 U+01C5 U+01C6
U+01C7 U+01C8 U+01C9
U+01CA U+01CB U+01CC
U+01CD U+01CE
U+01CF U+01D0
U+01D1 U+01D2
U+01D3 U+01D4
U+01D5 U+01D6
U+01D7 U+01D8
U+01D9 U+01DA
U+01DB U+01DC
U+01DE U+01DF
U+01E0 U+01E1
U+01E2 U+01E3
U+01E4 U+01E5
U+01E6 U+01E7
U+01E8 U+01E9
U+01EA U+01EB
U+01EC U+01ED
U+01EE U+01EF
U+01F1 U+01F2 U+01F3
U+01F4 U+01F5
U+01F8 U+01F9
U+01FA U+01FB
U+01FC U+01FD
U+01FE U+01FF
U+0200 U+0201
U+0202 U+0203
U+0204 U+0205
U+0206 U+0207
U+0208 U+0209
U+020A U+020B
U+020C U+020D
U+020E U+020F
U+0210 U+0211
U+0212 U+0213
U+0214 U+0215
U+0216 U+0217
U+0218 U+0219
U+021A U+021B
U+021C U+021D
U+021E U+021F
U+0222 U+0223
U+0224 U+0225
U+0226 U+0227
U+0228 U+0229
U+022A U+022B
U+022C U+022D
U+022E U+022F
U+0230 U+0231
U+0232 U+0233
U+023A U+2C65
U+023B U+023C
U+023E U+2C66
U+023F U+2C7E
U+0240 U+2C7F
U+0241 U+0242
U+0244 U+0289
U+0245 U+028C
U+0246 U+0247
U+0248 U+0249
U+024A U+024B
U+024C U+024D
U+024E U+024F
U+0250 U+2C6F
U+0251 U+2C6D
U+0252 U+2C70
U+025C U+A7AB
U+0261 U+A7AC
U+0264 U+A7CB
U+0265 U+A78D
U+0266 U+A7AA
U+026A U+A7AE
U+026B U+2C62
U+026C U+A7AD
U+0271 U+2C6E
U+027D U+2C64
U+0282 U+A7C5
U+0287 U+A7B1
U+029D U+A7B2
U+029E U+A7B0
U+0345 U+0399 U+03B9 U+1FBE
U+0370 U+0371
U+0372 U+0373
U+0376 U+0377
U+037B U+03FD
U+037C U+03FE
U+037D U+03FF
U+037F U+03F3
U+0386 U+03AC
U+0388 U+03AD
U+0389 U+03AE
U+038A U+03AF
U+038C U+03CC
U+038E U+03CD
U+038F U+03CE
U+0390 U+1FD3
U+0391 U+03B1
U+0392 U+03B2 U+03D0
U+0393 U+03B3
U+0394 U+03B4
U+0395 U+03B5 U+03F5
U+0396 U+03B6
U+0397 U+03B7
U+0398 U+03B8 U+03D1 U+03F4
U+039A U+03BA U+03F0
U+039B U+03BB
U+039D U+03BD
U+039E U+03BE
U+039F U+03BF
U+03A0 U+03C0 U+03D6
U+03A1 U+03C1 U+03F1
U+03A3 U+03C2 U+03C3
U+03A4 U+03C4
U+03A5 U+03C5
U+03A6 U+03C6 U+03D5
U+03A7 U+03C7
U+03A8 U+03C8
U+03A9 U+03C9 U+2126
U+03AA U+03CA
U+03AB U+03CB
U+03B0 U+1FE3
U+03CF U+03D7
U+03D8 U+03D9
U+03DA U+03DB
U+03DC U+03DD
U+03DE U+03DF
U+03E0 U+03E1
U+03E2 U+03E3
U+03E4 U+03E5
U+03E6 U+03E7
U+03E8 U+03E9
U+03EA U+03EB
U+03EC U+03ED
U+03EE U+03EF
U+03F2 U+03F9
U+03F7 U+03F8
U+03FA U+03FB
U+0400 U+0450
U+0401 U+0451
U+0402 U+0452
U+0403 U+0453
U+0404 U+0454
U+0405 U+0455
U+0406 U+0456
U+0407 U+0457
U+0408 U+0458
U+0409 U+0459
U+040A U+045A
U+040B U+045B
U+040C U+045C
U+040D U+045D
U+040E U+045E
U+040F U+045F
U+0410 U+0430
U+0411 U+0431
U+0412 U+0432 U+1C80
U+0413 U+0433
U+0414 U+0434 U+1C81
U+0415 U+0435
U+0416 U+0436
U+0417 U+0437
U+0418 U+0438
U+0419 U+0439
U+041A U+043A
U+041B U+043B
U+041C U+043C
U+041D U+043D
U+041E U+043E U+1C82
U+041F U+043F
U+0420 U+0440
U+0421 U+0441 U+1C83
U+0422 U+0442 U+1C84 U+1C85
U+0423 U+0443
U+0424 U+0444
U+0425 U+0445
U+0426 U+0446
U+0427 U+0447
U+0428 U+0448
U+0429 U+0449
U+042A U+044A U+1C86
U+042B U+044B
U+042C U+044C
U+042D U+044D
U+042E U+044E
U+042F U+044F
U+0460 U+0461
U+0462 U+0463 U+1C87
U+0464 U+0465
U+0466 U+0467
U+0468 U+0469
U+046A U+046B
U+046C U+046D
U+046E U+046F
U+0470 U+0471
U+0472 U+0473
U+0474 U+0475
U+0476 U+0477
U+0478 U+0479
U+047A U+047B
U+047C U+047D
U+047E U+047F
U+0480 U+0481
U+048A U+048B
U+048C U+048D
U+048E U+048F
U+0490 U+0491
U+0492 U+0493
U+0494 U+0495
U+0496 U+0497
U+0498 U+0499
U+049A U+049B
U+049C U+049D
U+049E U+049F
U+04A0 U+04A1
U+04A2 U+04A3
U+04A4 U+04A5
U+04A6 U+04A7
U+04A8 U+04A9
U+04AA U+04AB
U+04AC U+04AD
U+04AE U+04AF
U+04B0 U+04B1
U+04B2 U+04B3
U+04B4 U+04B5
U+04B6 U+04B7
U+04B8 U+04B9
U+04BA U+04BB
U+04BC U+04BD
U+04BE U+04BF
U+04C0 U+04CF
U+04C1 U+04C2
U+04C3 U+04C4
U+04C5 U+04C6
U+04C7 U+04C8
U+04C9 U+04CA
U+04CB U+04CC
